Nome,Mesa,Temas,,Produtos,,Link Catálogo
Priscilla Tramontano,F10,"Baldur's Gate 3, Legend of Zelda, One Piece, Studio Ghibli, Evangelion, Sonic, Terror, Dandadan, Elden Ring, Rick and Morty, Cult of the Lamb, Godzilla, Diablo, Silent Hill, Arcane, Tartarugas Ninja, Família Addams, Resident Evil, Stranger Things, Transformers, IT",,"Cartelas de adesivos, pins metálicos, chaveiros de acrílico, adesivos avulsos, prints, quadrinhos  ",,https://bsky.app/profile/prips.bsky.social/post/3lbuqdgbhnc23
Mario César (masquemario),L19-20,"LGBTQIAP+, Agatha Desde Sempre, Humor",,"Quadrinhos, prints, cartela de adesivos, ecobag, adesivos avulsos, chabeiro, button, imã",,https://bsky.app/profile/masquemario.bsky.social/post/3lbxb7zvdgc2s
Rapha Pinheiro / Inko,K19-20,"Urban Sketching, Aventura, Fantasia, Cotidiano, Ensino, Autoral, Original",,"Quadrinhos, Skechbooks, Prints, Cartões Postais",,https://www.instagram.com/p/DDC94X0pKTe/?img_index=1
The joco,L27,"Cartoon, Pokemon, Stardew Valley, Hollow Knight, Yugioh, Madoka Magica, artes com Macacos e sobre o cotidiano",,"Zines, pins, bottons, cartelas de adesivos, adesivos unitarios, gacha, prints e chaveiros.",,https://www.instagram.com/thejoco/
Carol Cunha,L28,"Hora de Aventura, Frieren, Dandadan, Ghibli, Steven Universe, Sher-Ra, Heartstopper, Avatar Aang",,"Quadrinhos, zines, livros, adesivos unitários, prints, postais e bottons",,https://www.instagram.com/carolcunhac2/
Clara Pernambuco,L27,"LGBTQIAP+, Dungeons & Dragons e RPGs de mesa, fantasia, bichos fofinhos, caveiras engraçadas, cotidiano e humor, artes originais",,"Quadrinhos, pins, chaveiros, pingentes de celular, adesivos (avulsos, em kit e em cartela), bottons, sketchbooks, patches bordados, planners, bloquinhos de nota e prints ",,https://www.instagram.com/clara.pernambuco/
Lucas Meyer,K38,DC Comics,,"Adesivos, cartelas de adesivos, pins, prints, cadernos, páginas originais da DC Comics, commissions e blank covers",,https://www.instagram.com/p/DC2SqN2SYlT/?img_index=1
Marcel Bartholo,B15,"Terror, Adaptações literárias, Realismo Fantástico, Folclore, Esporte, Orixás, Aventura, Batman,Stephen King, ",,"Quadrinhos, Livros ilustrados, Livros infantis, Prints, Originais e Encomendas.",,www.marcelbartholo.com 
Thamiris Soares,K23,"memes, humor, nostalgia, The office, Mob Psycho 100, Dungeon Meshi, JoJo, Brooklyn 99, brasilidades e coisas fofas",,"Quadrinhos, zines, adesivos, chaveiros, ecobag, imã de geladeira, pins, botton e quebra cabeça",,https://bsky.app/profile/thamirissoares.bsky.social/post/3lc4mbdslgs2w
Daieny Schuttz,C25,"Bichinhos fofos, arte vetorial kawaii, chibi e furry, My Little Pony, FNAF - Five Nights at Freddy's, NITW - Night in The Woods, Pokémon, Stardew Valley, MCR - My Chemical Romance, Sonic, Mario, paródias de marcas famosas e personagens originais",,"Adesivos, bottons, prints, posters, sketchbooks, cadernos, bloco de notas, lápis, quadrinhos, chaveiros, pins, ecobags, bandanas e canecas",,https://daieny.com/catalogo
Vi Marchetti,D13,"A mesa dos gatinhos! Prints de gatinhos de tudo que é jeito (signos / bandeiras LGBTQIA+ / Obras de Arte / Super heróis), FNAF, Sailor Moon, Sonic, Zelda, Peach, Samus, memes e Quadrinhos Autorais",,"Prints (A5, A4, A3), Quadrinhos (Gibi e livro), pin, botton, postais, marcador de página, ímã, cartela de adesivo",,"https://bsky.app/profile/vimarchetti.bsky.social/post/3lcd6bbqm3225
instagram.com/vi_marchetti/"
Lalo Boia ,B04,"Dungeon Meshi, Dandadan, One piece (Nico Robin stan),  otakus originais,  ahegao, histórias em quadrinhos autorais babadeiras, LGBTs sempre. ",,"Camiseta, ecobags, prints exclusivos, quadrinho, adesivos. ",,https://www.instagram.com/p/DC-VqjCv7CN/?igsh=MXZzcWcydnQxcmpv
Paulo Kielwagen,J37,"Basicamente gatos, itens autorais, humor, fanarts de One Piece, Pokémon, Vingadores, Rick & Morty, He-man, Gorillaz.",,"Quadrinhos, tirinhas, livros infantis,prints, canecas, postais, botons, pins, adesivos, imãs, porta-copos, cartas Pif Paf Pow e Taazos.",,https://blueeosgatos.com.br/lojinha
Amora Boreal ,C28,"Monstrinhos, coisinhas de fantasia, terror fofinho, gatinhos. Totoro, Stitch, Hollow Knight, Vovó Juju, Sailor Moon, Gravity Falls, Steven Universo, e meus autorais.",,"Quadrinhos, zines, adesivos, bottons, ecobags, pasta para guardar prints, prints, cadernos ",,www.instagram.com/amora_boreal
Felipe Nunes,C 08,"Cartoon Network - Meninas Super Poderosas, Coragem, Laboratório de Dexter, Mansão Foster, Monstros S.A., Tartarugas Ninja, Space Jam, Super Mario, Alice no País das Maravilhas, Ratatouille, Literatura infantojuvenil e Quadrinhos Autorais",,"Quadrinhos, prints A3, prints A4, prints quadrados, cartela de adesivos, stickers, pin, ecobag",,www.instagram.com/nunes_nunes
